Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-01-21 11:59,Short Exit,21676.5,1,432210,-1320,-0.31,1695,0.39,-1320,-0.31,-1320,-0.13
1,Entry short,2025-01-21 09:54,Short,21610.5,1,432210,-1320,-0.31,1695,0.39,-1320,-0.31,-1320,-0.13
2,Exit short,2025-01-23 10:02,Short Exit,21874.75,1,438020,525,0.12,525,0.12,-175,-0.04,-795,-0.08
2,Entry short,2025-01-23 09:54,Short,21901,1,438020,525,0.12,525,0.12,-175,-0.04,-795,-0.08
3,Exit long,2025-01-28 10:03,Long Exit,21351.5,1,424720,2310,0.54,2310,0.54,-75,-0.02,1515,0.15
3,Entry long,2025-01-28 09:52,Long,21236,1,424720,2310,0.54,2310,0.54,-75,-0.02,1515,0.15
4,Exit short,2025-02-18 10:01,Short Exit,22169,1,444045,665,0.15,665,0.15,-35,-0.01,2180,0.22
4,Entry short,2025-02-18 10:00,Short,22202.25,1,444045,665,0.15,665,0.15,-35,-0.01,2180,0.22
5,Exit short,2025-02-24 09:53,Short Exit,21616.5,1,433695,1365,0.31,1365,0.31,-25,-0.01,3545,0.35
5,Entry short,2025-02-24 09:50,Short,21684.75,1,433695,1365,0.31,1365,0.31,-25,-0.01,3545,0.35
6,Exit short,2025-02-26 09:49,Short Exit,21274,1,424230,-1250,-0.29,300,0.07,-1250,-0.29,2295,0.23
6,Entry short,2025-02-26 09:43,Short,21211.5,1,424230,-1250,-0.29,300,0.07,-1250,-0.29,2295,0.23
7,Exit short,2025-02-27 09:40,Short Exit,21283.5,1,426835,1165,0.27,1165,0.27,-130,-0.03,3460,0.35
7,Entry short,2025-02-27 09:39,Short,21341.75,1,426835,1165,0.27,1165,0.27,-130,-0.03,3460,0.35
8,Exit short,2025-03-03 09:57,Short Exit,20841.75,1,418830,1995,0.48,1995,0.48,-440,-0.11,5455,0.55
8,Entry short,2025-03-03 09:50,Short,20941.5,1,418830,1995,0.48,1995,0.48,-440,-0.11,5455,0.55
9,Exit long,2025-03-05 09:56,Long Exit,20313.75,1,408480,-2205,-0.54,635,0.16,-2205,-0.54,3250,0.33
9,Entry long,2025-03-05 09:41,Long,20424,1,408480,-2205,-0.54,635,0.16,-2205,-0.54,3250,0.33
10,Exit long,2025-03-07 10:30,Long Exit,20031.25,1,402720,-2095,-0.52,2120,0.53,-2095,-0.52,1155,0.12
10,Entry long,2025-03-07 09:41,Long,20136,1,402720,-2095,-0.52,2120,0.53,-2095,-0.52,1155,0.12
11,Exit long,2025-03-19 10:09,Long Exit,19898.75,1,395675,2300,0.58,2300,0.58,-330,-0.08,3455,0.35
11,Entry long,2025-03-19 09:47,Long,19783.75,1,395675,2300,0.58,2300,0.58,-330,-0.08,3455,0.35
12,Exit long,2025-03-24 09:52,Long Exit,20322.5,1,405330,1120,0.28,1120,0.28,-390,-0.10,4575,0.46
12,Entry long,2025-03-24 09:38,Long,20266.5,1,405330,1120,0.28,1120,0.28,-390,-0.10,4575,0.46
13,Exit short,2025-03-25 10:00,Short Exit,20429,1,407495,-1085,-0.27,260,0.06,-1085,-0.27,3490,0.35
13,Entry short,2025-03-25 09:44,Short,20374.75,1,407495,-1085,-0.27,260,0.06,-1085,-0.27,3490,0.35
14,Exit long,2025-03-26 09:47,Long Exit,20413,1,409095,-835,-0.20,405,0.10,-835,-0.20,2655,0.27
14,Entry long,2025-03-26 09:36,Long,20454.75,1,409095,-835,-0.20,405,0.10,-835,-0.20,2655,0.27
15,Exit long,2025-04-04 10:12,Long Exit,18005.5,1,362195,-2085,-0.58,2575,0.71,-2085,-0.58,570,0.06
15,Entry long,2025-04-04 09:47,Long,18109.75,1,362195,-2085,-0.58,2575,0.71,-2085,-0.58,570,0.06
16,Exit short,2025-04-10 10:00,Short Exit,18644.25,1,375300,2415,0.64,2415,0.64,-775,-0.21,2985,0.30
16,Entry short,2025-04-10 09:52,Short,18765,1,375300,2415,0.64,2415,0.64,-775,-0.21,2985,0.30
17,Exit short,2025-04-17 09:50,Short Exit,18459.25,1,367640,-1545,-0.42,30,0.01,-1545,-0.42,1440,0.14
17,Entry short,2025-04-17 09:47,Short,18382,1,367640,-1545,-0.42,30,0.01,-1545,-0.42,1440,0.14
18,Exit long,2025-04-23 11:23,Long Exit,18916.5,1,381635,-3305,-0.87,1675,0.44,-3305,-0.87,-1865,-0.19
18,Entry long,2025-04-23 09:38,Long,19081.75,1,381635,-3305,-0.87,1675,0.44,-3305,-0.87,-1865,-0.19
19,Exit long,2025-04-25 09:51,Long Exit,19256,1,386540,-1420,-0.37,735,0.19,-1420,-0.37,-3285,-0.33
19,Entry long,2025-04-25 09:35,Long,19327,1,386540,-1420,-0.37,735,0.19,-1420,-0.37,-3285,-0.33
